aids,canonicalsmiles
322.500,3-diamine|AC 1802|Aprindine (USAN/INN)|N-(3-(Diethylamino)propyl)-N-phenyl-2-indanamine|Aprindine [USAN:INN:BAN]|UNII-5Y48085P9Q|APRINDINE [INN]|APRINDINE [MI]|APRINDINE [USAN]|Compd 99170|Lilly 99170|N'-(2
2,3
0,25
26H,6
0,5
0,2.600
NULL,N-triethyl-2-[4-[(1E)-2-phenylethenyl]phenoxy]-ethanaminium
6, (+)-|Piperazine
5,5S)-5-([1
0,309.400
C19H25NOS, 5
7,N
2,515.000
9-11,9aR)-rel-|Advaston|Breiful|Gastirol|Thiameron|Tiapaston|Aspora|Thiwan|Tiquizium bromide [INN:JAN]|Tiquizii bromidum [INN-Latin]|UNII-659K6049SF|HSR 902|Bromure de tiquizium [INN-French]|Bromuro de tiquizio [INN-Spanish]|Thiaton (TN)|NCGC00167984-01|Dithienylmethylene methyl trans-quinolizidinium|SCHEMBL24151|MLS006010103|Tiquizium bromide (JAN/INN)|TIQUIZIUM BROMIDE [MI]|TIQUIZIUM BROMIDE [INN]|TIQUIZIUM BROMIDE [JAN]|CHEMBL2360047|DTXCID0026757|CHEBI:32232|TIQUIZIUM BROMIDE [MART.]|TIQUIZIUM BROMIDE [WHO-DD]|Tox21_112604|AKOS025311222|SMR004701242|CAS-71731-58-3|D01875|Q27263861|(5R)-3-(dithiophen-2-ylmethylene)-5-methyldecahydroquinolizinium bromide|(+/-)-TRANS-3-(DI-2-THIENYLMETHYLENE)OCTAHYDRO-5-METHYL-2H-QUINOLIZINIUM BROMIDE|(5R
3-DIOXOLAN-4-YL)METHOXY)PHENYL)-4-(1-METHYLETHYL)-,4S)-2-(2
291.000, chloride|Benzyl hexadecyl dimethyl ammonium chloride|DTXSID3041665|BenzylcetyldiMethylaMMoniuM Chloride Hydrate|85474O1N9D|Benzenemethanaminium
0,23
8,5
3, 1-(10
9R)-|(-)quinine|NCGC00166281-01|QI9|EINECS 215-805-4|NSC5362|Dentojel (*Bisulfate heptathydrate*)|Biquinate (*Bisulfate heptathydrate*)|Quinine, (8alpha
52,"InChI=1S/C13H29NO2/c1-2-3-4-5-6-7-8-9-10-16-12-13(15)11-14/h13
0,38
9,10S*))-|((2-(Diethylamino)ethyl)thio)acetic acid 8-ester with (3aS
0,5
0,0
14, monohydrochloride|MS-27951|amino)ethylamino)-1
0,1
37(44)49)39(60-27(3)52)46(38,5(10)
0,48.000
NULL,6-DICHLOROPHENYL)THIO)BUTYL)IMIDAZOLE MONONITRATE|Butoconazole nitrate [USAN]|1H-IMIDAZOLE
N-dimethyl-propan-1-amine|2-CHLORO-N,gamma-propylamine
10, (8-beta)-|Ergoline-8beta-carboxamide
0,1
11aS)-N-[2,3b
28-dimethyl-2,10.121
CC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NCCCCN3CCN(CC3)C4=CC=CC=C4OC, solid|SR-01000597384|J-009934|SR-01000597384-1|BRD-K50891186-001-01-0|Q27164632|4''-acetyl-N-(4-(4-(2-methoxyphenyl)piperazin-1-yl)butyl)biphenyl-4-carboxamide|4''-Acetyl-biphenyl-4-carboxylic acid {4-[4-(2-methoxy-phenyl)-piperazin-1-yl]-butyl}-amide|4/'-ACETYL-N-[4-[4-(2-METHOXYPHENYL)-1-PIPERAZINYL]BUTYL]-[1
74.700, Erlotinib|ERLOTINIB HYDROCHLORIDE (MART.)|ERLOTINIB HYDROCHLORIDE [MART.]|[6
0,592.000
0,537.000
0,4
1,4
0,29H
20.alpha.-yohimban-16.beta.-carboxylate 4-hydroxy|YOHIMBAN-16-CARBOXYLIC ACID, ester with 4-hydroxy-3
360.082,195.000
3-dihydro-indol-2-one (Ziprasidone)|5-[2-(4-Benzo[d]isothiazol-3-yl-piperazin-1-yl)-ethyl]-6-chloro-1,3-dihydro-|5-(2-(4-(1
3,4
18H,3-dihydro-
3,4-tetrahydronaphthalen-2-yl 2-methoxyacetate|Acetic acid
0,7.200
5-dihydroxy-6-heptenoic acid,5-DIHYDROXY-6-HEPTENOIC ACID
21,3-dichlorophenoxy)-2-(methylthio)-1H-benzimidazole|6-[2
 2-(4-(diphenylmethyl)-1-piperazinyl)ethyl methyl ester|3-{2-[4-(diphenylmethyl)piperazin-1-yl]ethyl} 5-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1
479.100, 1-[2-(2
344.400,6-Tetrahydro-1-methyl-2-pyrimidinyl)methyl .alpha.-phenylcyclohexaneglycolate|Benzeneacetic acid
"InChI=1S/2C19H20N2.C10H8O6S2/c2*1-20-12-11-19-17(14-20)16-9-5-6-10-18(16)21(19)13-15-7-3-2-4-8-15;11-17(12,5-NAPHTHALENEDISULFONATE SALT [MI]|Mebhydroline 1
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-], bromide|Ammonium
 HYDROCHLORIDE (1:1)|9-Phenanthrenemethanol,3-DICHLORO-ALPHA-[2-(DIBUTYLAMINO)ETHYL]-6-(TRIFLUOROMETHYL)-9-PHENANTHRENEMETHANOL HYDROCHLORIDE|HALOFANTRINE HYDROCHLORIDE (MART.)|HALOFANTRINE HYDROCHLORIDE [MART.]|CAS-36167-63-2|(+-)-Halofantrine hydrochloride|HALOFANTRINE HYDROCHLORIDE (EP IMPURITY)|HALOFANTRINE HYDROCHLORIDE [EP IMPURITY]|HALOFANTRINE HYDROCHLORIDE (EP MONOGRAPH)|HALOFANTRINE HYDROCHLORIDE [EP MONOGRAPH]|SMR001233418|Halfan (TN)|1-(1
1,3.600
3S)-3-hexyl-4-oxo-2-oxetanyl]tridecan-2-yl] ester|[(2S)-1-[(2R, (1S)-1-[[(2S
4-dichlorobenzyl)oxy]-1-(2, 1-(2
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,86.000
CCN(CC)CCOC(=O)C(C)(C1=CC=CC=C1)C2=CC=CC=C2,2-diphenylpropanoate #|4-09-00-02535 (Beilstein Handbook Reference)|L000719|SR-01000883700|Q4068249|SR-01000883700-1|BRD-K48282247-001-01-4|.alpha.
462.098,582.000
 SAJ special grade|HMS1920B11|HMS2091H15|HMS3655D03|Pharmakon1600-01500315|3-(AMINOMETHYL)INDOLEOXALATE|Gentian violet,N-[4-[bis[4-(dimethylamino)phenyl]methylene]-2
NULL,3
315.199,3-diphenyl-N-(1-phenylethyl)-1-propanamine;hydrochloride"
3-dione;hydrochloride|CIS-N-(4-(4-(1, HYDROCHLORIDE (1:1)
9, rel-
2-dicyclohexylethyl)-, 2-(2
20alpha-Yohimban-16beta-carboxylic acid,5-trimethoxycinnamoyl)reserpate|CHEBI:28572|AI3-52763|Methyl reserpate 3
0,0
6-Tetrahydrophthalimidomethyl (+-)-cis-trans-chrysanthemate|CCG-51764|Cyclohex-1-ene-1,2-dimethyl-3-(2-methyl-1-propenyl)-
0,1-(4-fluorophenyl)-4-(4-(2-pyridinyl)-1-piperazinyl)-|1-(4-fluorophenyl)-4-[4-(2-pyridyl)piperazin-1-yl]butan-1-one;Azaperone|1-Butanone
0,1
8(12),1-dioxide|Fananserin [INN]|CAS-127625-29-0|Fananserin (USAN/INN)|UNII-38QJ762ET6|2-{3-[4-(4-Fluorophenyl)piperazin-1-yl]propyl}-2H-naphtho[1
5-dimethylpiperazin-1-yl)(3-methoxyphenyl)methyl)-N,5R)-4-Allyl-2
1,C18H19NOS
6537,0
351.145, benzoate"
8)/b;2*2-1+",4-diazepin-1-yl)-
1,2-bis(p-chlorophenyl)ethane|1
"InChI=1S/C25H35NO5/c1-6-26(19(2)17-20-9-12-22(28-3)13-10-20)15-7-8-16-31-25(27)21-11-14-23(29-4)24(18-21)30-5/h9-14,4-dimethoxybenzoate|AKOS025141920|DB12554|4-(ethyl{1-methyl-2-[4-(methyloxy)phenyl]ethyl}amino)butyl 3
0,22
382.228,5-DIMETHYL-1-PHENYL-1H-PYRROL-3-YL)VINYL)-1-METHYLQUINOLINIUM|6-(dimethylamino)-2-[(E)-2-(2
2,4]triazolo[4
2,2
13S,13b-octahydro-13H-13
"InChI=1S/C21H23ClFN3O.2ClH/c1-3-25(4-2)11-12-26-19-10-9-15(22)13-17(19)21(24-14-20(26)27)16-7-5-6-8-18(16)23;;/h5-10,4-Benzodiazepin-2-one
 >=98% (HPLC)|'Toremifene Citrate (Fareston,2-diphenylbut-1-en-1-yl]phenoxy}ethyl)dimethylamine; 2-hydroxypropane-1
8a-hexahydro-1H-pyrrolo[1,578.000
17-,6-dimethyl-4-[2-methyl-3-(p-t-pentylphenyl)propyl]-morpholin|(2S
2,4-Dichlorophenyl)-1
5,3R
17-18H, 1-[(1-methylethyl)amino]-3-(1-naphthalenyloxy)-
0,7-11H2
0,"InChI=1S/C20H37N3O4/c1-7-8-9-16(12-24)22-19(26)18(11-14(4)5)23-20(27)17(10-13(2)3)21-15(6)25/h12-14
1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol,(-)|Spectrum2_001301|Spectrum2_001699|Spectrum3_000883|Spectrum3_001071|Spectrum4_000974|Spectrum4_001222|Spectrum5_000751|(.+/-.)-Propranolol|PROPRANOLOL [VANDF]|SCHEMBL3955|3-[(methylethyl)amino]-1-naphthyloxypropan-2-ol|Lopac0_000896|Oprea1_304193|BSPBio_000944|BSPBio_002682|CBDivE_006180|GTPL564|KBioGR_001347|KBioGR_001684|KBioGR_002515|KBioSS_002523|PROPRANOLOL [WHO-DD]|DivK1c_000023|SPBio_001361|SPBio_001658|SPBio_003093|(+)-Propranolol hydrochloride; (R)-(+)-Propranolol hydrochloride|1-(Isopropylamino)-3-(naphthalen-1-yloxy)propan-2-ol|BPBio1_001040|DTXCID903525|ICI 45520 (Salt/Mix)|NSC 91523 (Salt/Mix)|SCHEMBL12264958|BDBM25761|HY-B0573B|KBio1_000023|KBio2_002515|KBio2_005083|KBio2_007651|KBio3_001766|KBio3_001902|KBio3_002993|C07AA05|cMAP_000071|NINDS_000023|(A+/-)-Propranolol hydrochloride|[2-hydroxy-3-(naphthalen-1-yloxy)propyl](propan-2-yl)amine|Bio1_000367|Bio1_000856|Bio1_001345|HMS2090L21|HMS3428G03|BCP26001|BCP31343|PDSP1_000767|PDSP1_001607|PDSP1_001608|PDSP2_000755|PDSP2_001591|PDSP2_001592|AKOS000588816|AKOS016050338|CCG-103643|DB00571|FE-0204|SDCCGSBI-0050871.P004|IDI1_000023|NCGC00015798-04|NCGC00015798-05|NCGC00015798-06|NCGC00015798-07|NCGC00015798-08|NCGC00015798-09|NCGC00015798-15|NCGC00015798-19|NCGC00024690-02|NCGC00024690-03|SBI-0050871.P003|AB00053537|CS-0069968|FT-0650563|FT-0674088|EN300-40731|C07407|D08443|AB00053537-10|AB00053537_11|AB00053537_12|1-(Isopropylamino)-3-(1-naphthoxy)-propan-2-ol|L000679|Q423364|1(-alpha-naphthoxy)-3-(iso-propylamino)-2-propanol|1-(alpha-naphthoxy)-3-(iso-propylamino)-2-propanol|1-(alpha-naphthoxy)-3-(isopropylamino)-2-propanol|1-isopropylamino-3-(naphthalen-1-yloxy)propan-2-ol|W-109550|1-(isopropylamino)-3-naphthalen-1-yloxy-propan-2-ol|BRD-A10070317-003-06-9|BRD-A10070317-003-17-6|1-((1-Methylethyl)amino)-3-(1-naphthyloxy)-2-propanol|1-(1-Naphthyloxy)-2-hydroxy-3-(isopropylamino)propane|F0001-3681|1-[(1-methylethyl)amino]-3-(naphthalen-1-yloxy)propan-2-ol|1H-Pyrrole-2-carboxylic acid
18-/m0/s1",383.500
0,19
NULL, HYDROCHLORIDE
1,C16H21NO2
21,1-5H3
LALFOYNTGMUKGG-BGRFNVSISA-L,C44H54CaF2N6O12S2
5S)-7-[4-(4-fluorophenyl)-2-[methyl(methylsulfonyl)amino]-6-propan-2-ylpyrimidin-5-yl]-3,NULL
5-DIHYDROXY-, (3R
5-dihydroxyhept-6-enoate",33
5-diiodophenyl ketone, 2-butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3
4-Triazol-3-one,3S)-2-HYDROXYPENTAN-3-YL)-1H-1
35, hydrate (1:1)|4-[4-[4-[4-[[(3R
3-triazole|2H-[1,3-triazol|27070-49-1|Triazacyclopentadiene|V-triazole|2
0,2.200
 >=98%,2
 6-AMINO-.BETA.-HEXYL-.ALPHA.-METHYL-,S*)-|NCGC00093903-01|NCGC00261189-01|SMR000326891|E-114|EU-0100504|(2R
16,S*)-|BDBM50034908|CCG-36414|9H-Purine-9-ethanol
6-dihydro-5-(2-propoxyphenyl)-7H-1, solid|1
2'',6-Bis(diethanolamino)-4
4-dihydro-1H-quinolin-2-one|6-[4-(3,2
0,"InChI=1S/C14H23N5O/c1-3-4-5-6-7-11(10(2)20)19-9-18-12-13(15)16-8-17-14(12)19/h8-11
0,20H
"ethyl 15-ethyl-1,16R) Isomer|AKOS005747008|CAS_443955|NSC_443955|NCGC00016854-02|NCGC00163690-01|NCGC00163690-02|AS-11611|SMR001828549|BRD-A19374631-001-01-0|Q27163405|Vinpocetine Impurity F;(-)-Apovincaminic acid ethyl ester"
0,C4H4N2
 min. 95%|BCPP000433|BDBM181146|HMS1921I14|HMS2092K20|HMS2269I04|Pharmakon1600-01500807|BCP02865|HY-B0152|VCA70030|Tox21_111348|Tox21_302108|BDBM50582699|CCG-38506|NSC757793|s1981|WLN: T56 BM DN FN HNJ IZ|AKOS000118903|AKOS005171607|Tox21_111348_1|AC-2028|AM83908|BCP9000233|CS-1984|DB00173|NSC-757793|SDCCGMLS-0066584.P001|NCGC00094856-02|NCGC00094856-03|NCGC00094856-05|NCGC00255120-01|AS-11841|BL008313|NCI60_000998|SMR000471871|ADENOSINE IMPURITY A [EP IMPURITY]|SBI-0052324.P002|Adenine,7-dihydro-
2,22
211.220, 1
1-IJ][1,41
15,S*)-|rac erythro-9-(2-Hydroxy-3-nonyl)adenine Hydrochloride|(2S
C1=CN=CC=C1C2=CNC(=O)C(=C2)N,4'-bipyridine)-6-(1H)-one|5-Amino-(3
0,"InChI=1S/C5H9NO4.K/c6-3(5(9)10)1-2-4(7)8;/h3H
0,7.800
 certified reference material, hydrochloride (1:?)|l(+)-lysine monohydrochloride|EINECS 233-234-9|VIRALYS|(2S)-2
4,6
42083,6H2
3,8
9,6-diaminohexanoic acid hydrochloride|AI3-18306|DL-2
0,101.000
42641,6H2
4,4
42083,6H2
 crystallized, (S)-|AI3-26523|L-Lysin|EINECS 200-294-2|UNII-K3Z4F929H6|DTXSID6023232|6-ammonio-L-norleucine|K3Z4F929H6|12798-06-0|DTXCID403232|L-Lysine base|Lysinum (Latin)|4-04-00-02717 (Beilstein Handbook Reference)|MFCD00064433|LYSINE (II)|LYSINE [II]|LYSINE (MART.)|LYSINE [MART.]|L-LYSINE
0,6
42082,6H2
42082,6H2
3,6-diaminohexanoic acid compound with acetic acid|(S)-2
 USGS41|A831210|SR-01000597730|J-502415|L-Glutamic acid, 98.5%|Lopac0_000529|S)-2-Aminopentanedioic acid|GLUTAMIC ACID [INCI]|GLUTAMIC ACID [VANDF]|L-GLUTAMIC ACID [FCC]|L-GLUTAMIC ACID [JAN]|BPBio1_001132|CHEMBL575060|GTPL1369|GLUTAMIC ACID [WHO-DD]|L-GLUTAMIC ACID [FHFI]|L-Glutamic acid
0,3
3,6H2
335)(H2,53-68
261,78
NULL,3
C6H12O6, anhydrous|Hexoses|Galactose
5R)-2,4
 5-(acetyloxy)-3-ethenyldodecahydro-10,4a
6aS,7
 inner salt,7-dihydroxy-N
1,C10H22NO7P
16)17)9(6(7)14)25-28(18,5)P2|Glycerophosphoinositol 4
"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28, inner salt
5,4
3,4-Diamino-4-oxobutanoate|US9138393
10-ethanoanthracen-9-yl)-N-methylpropylamine  monohydrochloride|Maprotiline hydrochloride,10-Ethanoanthracene-9(10H)-propylamine
5,6
4,2
12,f)(1
C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N,5R)-3
14-15H, 5'-phosphate (6CI
1,"InChI=1S/C9H14N3O9P/c10-7-4(9(15)16)11-2-12(7)8-6(14)5(13)3(21-8)1-20-22(17
4-dihydroxyoxolan-2-yl]methyl phosphate",5-6
7, AMINOIMIDAZOLECARBOXAMIDE [USP IMPURITY]|InChI=1/C4H6N4O/c5-3-2(4(6)9)7-1-8-3/h1H
0,"InChI=1S/C10H15N5/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8/h1-5H
258.096,7
6H,8
764.000,8
2-benzoisoxazol-3-yl)piperidin-1-yl)ethyl)-2-methyl-4-oxo-6,7
7,7
20-21,9.02
39+,37(44)49)39(60-27(3)52)46(38
87876,0
17,15S)-4
5-dimethylthiazol-2-yl)-2, bromide|3-(4
46-/m0/s1",37(44)49)39(60-27(3)52)46(38
3H)-dione; Flucytosine Imp. A (EP); Flucytosine Impurity A|Adrucil (ICN)|Adrucil (Fluorouracil)|Spectrum_000841|Opera_ID_134|5-Fluorouracil,4-pyrimidindiol|5-fluoropyrimidine-2
6,7.016
10bR,9S)-5-ethyl-5-hydroxy-9-(methoxycarbonyl)-1
CC1=C(SC(=N1)[N+]2=NC(=NN2C3=CC=CC=C3)C4=CC=CC=C4)C,5-diphenyl-2H-tetrazol-3-ium|3-(4
3,2
39?,37(44)49)39(60-27(3)52)46(38
15(20)-heptaene-14,12H)-dione|MLS000766223|XT3Z54Z28A|CHEBI:27656|MFCD00081076|(19S)-19-ethyl-19-hydroxy-17-oxa-3
7-8,923.000
47,13-tetraene-10-carboxylate;sulfuric acid"
15,16-diazapentacyclo[10.6.1.01
39-,37(44)49)39(60-27(3)52)46(38
9,14
3)4/h9-13,16-diazapentacyclo[10.6.1.01
10]nonadeca-4(12),36-30(14-18-48(24-28)25-42)29-12-9-10-13-33(29)47-36)32-20-31-34(21-35(32)57-4)50(26-51)38-44(31)16-19-49-17-11-15-43(8-2
 10-HYDROXY|10-Hydroxy-CPT|Spectrum_001639|(+)-(S)-10-HYDROXYCAMPTOTHECIN|SpecPlus_000763|Spectrum2_001660|Spectrum3_001621|Spectrum4_001815|Spectrum5_000549|ethyl(dihydroxy)[?]dione|SCHEMBL25875|BSPBio_003281|KBioGR_002454|KBioSS_002119|1H-Pyrano(3',14(4H
26,7.016
15,9.02
5,10}]nonadeca-4(12)
31,6'-xylidide|1-[3-(2-methoxyphenoxy)-2-hydroxypropyl]-4-[(2
6-bis(diethylamino)-|WLN: T6N CN ENJ BN2&2 DN2&2 FG|HSDB 1534|EINECS 209-459-3|EPA Pesticide Chemical Code 080806|BRN 0020617|6-Chloro-N,N'-tetraethyl-1
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl, radical ion(1+)|CHLORPROMAZINE [MI]|SCHEMBL8321|CHLORPROMAZINE [INN]|10-(3-Dimethylaminopropyl)-2-chlorophenothiazine|2-Chloro-10-(3-dimethylaminopropyl)phenothiazine|Lopac0_000249|Oprea1_110255|BSPBio_000247|BSPBio_002011|CHLORPROMAZINE [HSDB]|KBioGR_000806|KBioGR_002312|KBioSS_000622|KBioSS_002314|MLS003166901|CHLORPROMAZINE [VANDF]|CHLORPROMAZINUM [HPUS]|DivK1c_000624|SPECTRUM1500184|2-chloro-10-(3-(dimethylamino)propyl)-phenothiazine|6-(Dimethylamino)nicotinicacid|SPBio_001111|SPBio_002168|BPBio1_000273|BPBio1_001181|QSPL 401|CHLORPROMAZINE [WHO-DD]|HMS501P06|KBio1_000624|KBio2_000622|KBio2_002312|KBio2_003190|KBio2_004880|KBio2_005758|KBio2_007448|KBio3_001231|KBio3_002792|A10BB02|N05AA01|N05AF03|cMAP_000017|NINDS_000624|Bio1_000457|Bio1_000946|Bio1_001435|HMS1920M03|HMS2089C12|HMS2091E06|HMS3430C19|HMS3886G22|KUC112482N|Pharmakon1600-01500184|BCP03610|CHLORPROMAZINE [ORANGE BOOK]|Tox21_110120|BDBM50001888|CCG-40059|MFCD00133295|NSC756661|NSC756689|s5749|AKOS001490972|Tox21_110120_1|4560 RP|DB00477|KS-5101|NSC-756661|NSC-756689|RP-4560|SDCCGSBI-0050237.P005|IDI1_000624|PS31 - Chlorpromazine/Norchlorpromazine|QTL1_000021|NCGC00015273-01|NCGC00015273-02|NCGC00015273-03|NCGC00015273-04|NCGC00015273-05|NCGC00015273-06|NCGC00015273-07|NCGC00015273-08|NCGC00015273-09|NCGC00015273-10|NCGC00015273-12|NCGC00015273-13|NCGC00015273-14|NCGC00015273-15|NCGC00015273-16|NCGC00015273-17|NCGC00015273-19|NCGC00015273-31|NCGC00024409-04|NCGC00024409-05|NCGC00024409-06|NCGC00024409-07|NCGC00024409-08|KSC-315-032-|SMR001453710|2-chloro-10-[3-(dimethylamino)propyl]-|SBI-0050237.P004|WLN: T C666 BN ISJ B3N1&1 EG|2601A|AB00051943|FT-0653683|2601-A|C06906|D00270|AB00051943-15|AB00051943-16|AB00051943_17|AB00051943_18|3-Chloro-10-(3-dimethylaminopropyl)phenothiazine|L000182|Q407972|SR-01000000012-5|SR-01000000012-6|2-Chloro-10-(N-dimethylamino-n-propyl)-phenothiazine|BRD-K89997465-001-05-3|10h-phenothiazine-10-propanamine
NULL, 1mg/ml in Methanol|7-[Diethylamino]coumarin-3-carbonylazide|Chlorpromazine hydrochloride (JP17/USP)|CHLORPROMAZINE HYDROCHLORIDE [MI]|NCGC00024409-09|NCGC00093711-01|NCGC00093711-02|NCGC00180973-01|NCGC00254272-01|NCGC00260934-01|AC-10573|CHLORPROMAZINE HYDROCHLORIDE [JAN]|LS-14587|CHLORPROMAZINE HYDROCHLORIDE [VANDF]|C2481|CHLORPROMAZINE HYDROCHLORIDE [WHO-DD]|CHLORPROMAZINE HYDROCHLORIDE [WHO-IP]|Chlorpromazine hydrochloride
4a,7b-dihydroxy-3-(hydroxymethyl)-1
8,1b
2,2
33,3]DIOXOL-5-YL)-CYCLOPROPANECARBONYL]-AMINO]-3-METHYL-PYRIDIN-2-YL)-BENZOIC ACID|3-(6-{[1-(2
20,16-tetramethyl-3
20,9
26,12
26,16-tetramethyl-3
33H,20
135)|NSC212518|NSC-212518",10
6,14
26,16-tetramethyl-3
5,18-pentaen-9-yl] carbamate"
18-pentaen-10-yl) ester|HMS3656P15|SMP1_000132|SY074810|FT-0626638|Q27163406|UNII-Z3K3VJ16KU; CHEBI:5292; Z3K3VJ16KU",14
20,16-tetramethyl-3
9S,8
30,10
0,13-dione|C18H17ClO6|SCHEMBL2683393|HB4051|(4R
26,16-tetramethyl-3
15-tetramethyl-16,15-tetramethyl-16
22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),20
26,16-tetramethyl-3
33H,20
12H2,6
20,16-tetramethyl-3
11-12H2,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21)
0,20
0, stabilized|Suction Swab System with Perox-A-Mint Solution-Suction Swab and Suction Toothbrush"
0,C21H16FN3OS
11+,17]nonadeca-2
14-,4
15-, MONOHYDROCHLORIDE
9.02,326.400
14R,14-19
10:11,11a
23-24H, (17R
29);1H2/t20-, rel-|SMR000449272|R-51619|Propulsid Quicksolv|Cisapride (monohydrate)|CPD000449272|Cisapride hydrate (1:1)|MLS000758247|MLS001423985|SCHEMBL467064|CHEMBL1546244|DTXSID60948954|CISAPRIDE MONOHYDRATE [MI]|HMS2051G13|HY-14149A|AKOS030612393|CISAPRIDE MONOHYDRATE [WHO-DD]|CCG-100794|NC00044|Q27292115"
QBYYXIDJOFZORM-IKGOIYPNSA-N,581.000
2,20
"4-amino-5-chloro-N-[(3R,3.400
0,2
1,20
 in kerosene, >=99.5%|Sodium
NULL,[Na]
4,2-dimethyl-2H-chromen-8-yl]-3-phenyl-propenone|1-[6-[(3-Acetyl-2
DEZFNHCVIZBHBI-UHFFFAOYSA-N,2-dimethyl-2H-1-benzopyran-8-yl]-3-phenyl-2-propen-1-one|NCI60_042104|FT-0603292|Q27163860|1-{6-[(3-Acetyl-2
4800,1
 Spectrophotometric Grade|Toluene 10 microg/mL in Methanol|Toluene, HPLC Grade|4i7k|TOLUENE [HSDB]|TOLUENE [INCI]|Toluene
"InChI=1S/CH4N2S/c2-1(3)4/h(H4, ReagentPlus(R)
 SAJ special grade, >=99.5%|HY-B0892|Benzyl alcohol
0,"InChI=1S/C20H22N2O5S/c1-2-26-20(23)18-13-28-19(21-18)11-14-5-9-17(10-6-14)27-12-15-3-7-16(8-4-15)22(24)25/h3-10
0,8
15,9-11H2
17-dihydroxy-17-(2-hydroxyacetyl)-10,20-dione|[3H]-dexamethasone|DEXA|CIPRODEX COMPONENT DEXAMETHASONE|Decaject-L.A.|MAXITROL COMPONENT DEXAMETHASONE|TOBRADEX COMPONENT DEXAMETHASONE|(1R
14-15,11
11,"InChI=1S/C18H17ClO6/c1-9-6-15-14(25-15)5-3-2-4-10(20)7-11-16(18(23)24-9)12(21)8-13(22)17(11)19/h2-5
18-pentaene-2,14-15
13-dione|(9Z,"radicicol|12772-57-5|(4S
WYZWZEOGROVVHK-PYEARERXSA-N,radicicol|SCHEMBL5449792|CHEBI:94585|BRD-K95053771-001-01-5
16,25
1H3/b4-2+,14R
19-dihydroxy-4-methyl-3,18-pentaene-2
 5-CHLORO-6-(7, 8-chloro-1a
8R)-16-chloro-17,C18H17ClO6
"(4R,364.800
17,"InChI=1S/C19H25N5O4S2/c1-22(19-20-17-7-5-6-8-18(17)24(19)3)13-14-23(2)30(27
19)20;/h2-10, European Pharmacopoeia (EP) Reference Standard|methyl-[(3R)-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propyl]ammonium|Methyl-[3-phenyl-3-(4-trifluoromethyl-phenoxy)-propyl]-amine hydrochloride|N-Methyl-3-phenyl-3-(p-trifluoromethylphenoxy)-propylaminhydrochloride|N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propylamine Hydrochloride|(+/-)-N-Methyl-gamma-[4-(trifluoromethyl)phenoxy]benzenepropanamine hydrochloride|Fluoxetine Hydrochloride
4.000,alpha-trifluoro-p-tolyl)oxy]propylamine|NCGC00015428-06|NCGC00015428-07|NCGC00015428-10|NCGC00015428-11|NCGC00015428-12|NCGC00015428-13|NCGC00015428-15|NCGC00015428-27|NCGC00024879-03|NCGC00024879-04|AS-44989|SBI-0050541.P003|AB00053774|FT-0626489|D00326|EN300-199668|AB00053774-13|AB00053774-14|AB00053774_15|AB00053774_16|L000931|Q422244|BRD-A31159102-001-01-9|BRD-A31159102-003-05-6|BRD-A31159102-003-16-3|SR-01000002988-18|LY-110140;LY 110140;LY110140|N-methyl 3-(p-trifluoromethylphenoxy)-3-phenylpropylamine|N-Methyl-3-phenyl-3-(p-trifluoromethylphenoxy)propylamine|Benzenepropanamine
 certified reference material,3R)-rel-2-Amino-3-hydroxybutanoic acid|THREONINE (MART.)|THREONINE [MART.]|(R-(R*
6,20-dioxo-
3,9
11H2,3-dihydroxybutanedioic acid; N
N, N
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C.C(C(C(=O)O)O)(C(=O)O)O,2-a]pyridinyl]acetamide"
N-dimethyl-2-[(4S)-6-methyl-2-(4-methylphenyl)imidazo[1,2-a)pyridine-3-acetamide
0,5.900
6,6-dimethyloxan-2-yl]oxy-6-[(2S
14R*)-4-((2,6R)-4-(dimethylamino)-3-hydroxy-6-methyltetrahydro-2H-pyran-2-yl)oxy)-14-ethyl-7
34+,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9
56,3R
"4-(4,C36H65NO13
20?,719.900
5S,6-dimethyloxan-2-yl]oxy-6-[(3R
6,6-dimethyloxan-2-yl]oxy-6-[(2S
